cod.mun;departamento_y_municipio;t_2012
10101;Sucre;261201
10102;Yotala;9461
10103;Poroma;17377
10201;Azurduy;10652
10202;Tarvita;14261
10301;Zudañez;11362
10302;Presto;12385
10303;Mojocoya;8068
10304;Icla;7774
10401;Padilla;10383
10402;Tomina;8494
10403;Sopachuy;7312
10404;Villa Alcalá;4902
10405;El Villar;4465
10501;Monteagudo;24303
10502;Huacareta;8349
10601;Tarabuco;16944
10602;Yamparáez;10111
10701;Camargo;15644
10702;San Lucas;32520
10703;Incahuasi;13056
10704;Villa Charcas;16150
10801;Villa Serrano;11161
10901;Villa Abecia;3514
10902;Culpina;17731
10903;Las Carreras;4088
11001;Muyupampa;9720
11002;Huacaya;2541
11003;Macharetí;7418
20101;La Paz;766468
20102;Palca;16622
20103;Mecapaca;16086
20104;Achocalla;22179
20105;El Alto;848452
20201;Achacachi;46058
20202;Ancoraimes;13136
20203;Chua Cocani;5003
20204;Huarina;7948
20205;Santiago de Huata;8562
20206;Huatajata;3927
20301;Coro Coro;10647
20302;Caquiaviri;14687
20303;Calacoto;9879
20304;Comanche;3880
20305;Charaña;3246
20306;Waldo Ballivian;5069
20307;Nazacara de Pacajes;619
20308;Callapa;7289
20401;Puerto Acosta;11290
20402;Mocomoco;15665
20403;Pto. Carabuco;14589
20404;Humanata;5342
20405;Escoma;7186
20501;Chuma;11473
20502;Ayata;8410
20503;Aucapata;5495
20601;Sorata;23512
20602;Guanay;14788
20603;Tacacoma;8182
20604;Quiabaya;2684
20605;Combaya;3731
20606;Tipuani;9985
20607;Mapiri;13891
20608;Teoponte;9349
20701;Apolo;20308
20702;Pelechuco;6780
20801;Viacha;80724
20802;Guaqui;7278
20803;Tiahuanacu;12189
20804;Desaguadero;6987
20805;San Andrés de Machaca;6145
20806;Jesús de Machaca;15039
20807;Taraco;6603
20901;Luribay;11139
20902;Sapahaqui;12484
20903;Yaco;7315
20904;Malla;5180
20905;Cairoma;11355
21001;Inquisivi;14717
21002;Quime;8266
21003;Cajuata;10458
21004;Colquiri;19620
21005;Ichoca;7913
21006;Villa Libertad Licoma;5488
21101;Chulumani;17823
21102;Irupana;17276
21103;Yanacachi;6420
21104;Palos Blancos;24731
21105;La Asunta;40178
21201;Pucarani;28465
21202;Laja;24531
21203;Batallas;17426
21204;Puerto Pérez;8157
21301;Sica Sica;31312
21302;Umala;8903
21303;Ayo Ayo;7798
21304;Calamarca;12413
21305;Patacamaya;22858
21306;Colquencha;9879
21307;Collana;5042
21401;Coroico;19397
21402;Coripata;16930
21501;Ixiamas;9362
21502;San Buenaventura;8711
21601;Charazani;13023
21602;Curva;3285
21701;Copacabana;14931
21702;San Pedro de Tiquina;6052
21703;Tito Yupanqui;6261
21801;San Pedro Cuarahuara;8858
21802;Papel Pampa;7003
21803;Chacarilla;2004
21901;Santiago de Machaca;4593
21902;Catacora;2881
22001;Caranavi;50330
22002;Alto Beni;11194
30101;Cochabamba;632013
30201;Aiquile;23267
30202;Pasorapa;6853
30203;Omereque;5643
30301;Independencia;23658
30302;Morochata;12797
30303;Cocapata;18076
30401;Tarata;8242
30402;Anzaldo;7192
30403;Arbieto;17445
30404;Sacabamba;4366
30501;Arani;9504
30502;Vacas;8940
30601;Arque;10597
30602;Tacopaya;10253
30701;Capinota;19477
30702;Santivañez;6527
30703;Sicaya;3740
30801;Cliza;21899
30802;Toko;7057
30803;Tolata;5542
30901;Quillacollo;137182
30902;Sipe Sipe;41571
30903;Tiquipaya;53904
30904;Vinto;51968
30905;Colcapirhua;51990
31001;Sacaba;172466
31002;Colomi;19285
31003;Villa Tunari;71386
31101;Tapacarí;24625
31201;Totora;14665
31202;Pojo;10156
31203;Pocona;10750
31204;Chimoré;21736
31205;Puerto Villarroel;46627
31206;Entre Rios;31550
31301;Mizque;26900
31302;Vila Vila;5459
31303;Alalay;3447
31401;Punata;28887
31402;Villa Rivero;8135
31403;San Benito;13562
31404;Tacachi;1303
31405;Cuchumuela;2768
31501;Bolívar;7279
31601;Tiraque;21231
31602;Shinahota;20841
40101;Oruro;264943
40102;Caracollo;23115
40103;El Choro;8725
40104;Soracachi;12846
40201;Challapata;28304
40202;Quillacas;4051
40301;Corque;9221
40302;Choque Cota;1850
40401;Curahuara de Carangas;4184
40402;Turco;5207
40501;Huachacalla;1003
40502;Escara;4223
40503;Cruz de Machacamarca;1967
40504;Yunguyo de Litoral;514
40505;Esmeralda;2702
40601;Poopó;7587
40602;Pazña;5955
40603;Antequera;3264
40701;Huanuni;24677
40702;Machacamarca;4820
40801;Salinas de García Mendoza;11878
40802;Pampa Aullagas;2973
40901;Sabaya;8018
40902;Coipasa;903
40903;Chipaya;2003
41001;Toledo;10149
41101;Eucaliptus;5267
41201;Santiago de Andamarca;5216
41202;Belén de Andamarca;2016
41301;San Pedro de Totora;5531
41401;Huari;13897
41501;La Rivera;509
41502;Todos Santos;727
41503;Carangas;840
41601;Huayllamarca;5502
50101;Potosí;191302
50102;Tinguipaya;27200
50103;Yocalla;8979
50104;Urmiri;2759
50201;Uncía;22020
50202;Chayanta;16129
50203;Llallagua;41104
50204;Chuquihuta;8019
50301;Betanzos;33922
50302;Chaquí;9910
50303;Tacobamba;11835
50401;Colquechaca;35199
50402;Ravelo;20789
50403;Pocoata;26330
50404;Ocurí;16118
50501;S.P. De Buena Vista;30012
50502;Toro Toro;10870
50601;Cotagaita;31801
50602;Vitichi;10646
50701;Villa deSacaca;19611
50702;Caripuyo;8704
50801;Tupiza;44814
50802;Atocha;11234
50901;Colcha K;12997
50902;San Pedro de Quemes;1060
51001;San Pablo de Lipez;3371
51002;Mojinete;1180
51003;San Antonio de Esmoruco;2284
51101;Puna;21917
51102;Caiza D;12067
51103;Ckochas;15812
51201;Uyuni;29672
51202;Tomave;14789
51203;Porco;10866
51301;Arampampa;4170
51302;Acasio;6161
51401;Llica;4150
51402;Tahua;1700
51501;Villazón;44906
51601;San Agustín;1684
60101;Tarija;205375
60201;Padcaya;18681
60202;Bermejo;34505
60301;Yacuiba;92245
60302;Caraparí;15366
60303;Villamontes;39867
60401;Uriondo;14781
60402;Yunchará;5490
60501;Villa San Lorenzo;23863
60502;El Puente;11354
60601;Entre Ríos;21991
70101;Santa Cruz de la Sierra;1454539
70102;Cotoca;45519
70103;Porongo;15317
70104;La Guardia;89284
70105;El Torno;49652
70201;Warnes;96406
70202;Okinawa Uno;12482
70301;San Ignacio de Velasco;52362
70302;San Miguel de Velasco;11327
70303;San Rafael;6139
70401;Buena Vista;12879
70402;San Carlos;20093
70403;Yapacaní;50558
70404;San Juan de Yapacani;9191
70501;San Joséde Chiquitos;28922
70502;Pailón;37866
70503;Roboré;15641
70601;Portachuelo;17885
70602;Santa Rosa del Sara;19217
70603;Colpa Belgica;6069
70701;Lagunillas;5366
70702;Charagua;32186
70703;Cabezas;26434
70704;Cuevo;5052
70705;Gutiérrez;12273
70706;Camiri;33838
70707;Boyuibe;5087
70801;Vallegrande;17208
70802;Trigal;2135
70803;Moro Moro;2767
70804;Postrer Valle;2390
70805;Pucara;2076
70901;Samaipata;10472
70902;Pampa Grande;9198
70903;Mairana;10177
70904;Quirusillas;2995
71001;Montero;109518
71002;Gral. Saavedra;14209
71003;Mineros;23251
71004;Fernández Alonso;15117
71005;San Pedro;19103
71101;Concepción;18800
71102;San Javier;13620
71103;San Ramón;7490
71104;San Julián;47416
71105;San Antonio de Lomerío;6481
71106;Cuatro Cañadas;22845
71201;San Matías;14470
71301;Comarapa;15919
71302;Saipina;7390
71401;Puerto Suarez;19829
71402;Puerto Quijarro;16659
71403;Carmen Rivero Torrez;6342
71501;Ascensión de Guarayos;27070
71502;Urubichá;7026
71503;El Puente;14205
80101;Trinidad;106596
80102;San Javier;5277
80201;Riberalta;89022
80202;Guayaramerín;41814
80301;Reyes;13246
80302;San Borja;40864
80303;Santa Rosa;9478
80304;Rurrenabaque;19195
80401;Santa Ana de Yacuma;18439
80402;Exaltación;6362
80501;San Ignacio;21114
80601;Loreto;3828
80602;San Andrés;12503
80701;San Joaquín;6917
80702;San Ramón;4955
80703;Puerto Siles;945
80801;Magdalena;11377
80802;Baures;5965
80803;Huacaraje;4111
90101;Cobija;46267
90102;Porvenir;7948
90103;Bolpebra;2173
90104;Bella Flor;3909
90201;Puerto Rico;6239
90202;San Pedro;2991
90203;Filadelfia;5756
90301;Puerto Gonzales Moreno;8160
90302;San Lorenzo;7652
90303;Sena;8258
90401;Santa Rosa;2395
90402;Ingavi;1654
90501;Nueva Esperanza;2068
90502;Villa Nueva - Loma Alta;2801
90503;Santos Mercado;2165
